time	Lpx:	Lpy:	Lps:	Rpx:	Rpy:	Rps:
1492771676036	nan	nan	nan	nan	nan	nan
1492771676118	nan	nan	nan	nan	nan	nan
1492771676143	nan	nan	nan	nan	nan	nan
1492771676356	nan	nan	nan	nan	nan	nan
1492771676374	nan	nan	nan	nan	nan	nan
1492771676599	nan	nan	nan	nan	nan	nan
1492771676616	nan	nan	nan	nan	nan	nan
1492771676685	nan	nan	nan	nan	nan	nan
1492771676721	nan	nan	nan	nan	nan	nan
1492771676778	nan	nan	nan	nan	nan	nan
1492771676934	nan	nan	nan	nan	nan	nan
1492771677629	nan	nan	nan	nan	nan	nan
1492771677731	nan	nan	nan	nan	nan	nan
1492771678188	nan	nan	nan	nan	nan	nan
1492771678252	nan	nan	nan	nan	nan	nan
1492771678532	nan	nan	nan	nan	nan	nan
1492771678735	nan	nan	nan	nan	nan	nan
1492771679100	nan	nan	nan	nan	nan	nan
1492771679529	nan	nan	nan	nan	nan	nan
1492771679542	nan	nan	nan	nan	nan	nan
1492771679863	nan	nan	nan	nan	nan	nan
1492771680235	nan	nan	nan	nan	nan	nan
1492771680302	nan	nan	nan	nan	nan	nan
1492771680508	nan	nan	nan	nan	nan	nan
1492771680908	nan	nan	nan	nan	nan	nan
1492771681121	nan	nan	nan	nan	nan	nan
1492771681171	nan	nan	nan	nan	nan	nan
1492771681577	nan	nan	nan	nan	nan	nan
1492771681670	nan	nan	nan	nan	nan	nan
1492771681848	nan	nan	nan	nan	nan	nan
1492771681965	nan	nan	nan	nan	nan	nan
1492771682020	MSG	This is a message and it works!
1492771682272	nan	nan	nan	nan	nan	nan
1492771682665	nan	nan	nan	nan	nan	nan
1492771682693	nan	nan	nan	nan	nan	nan
1492771682699	nan	nan	nan	nan	nan	nan
1492771682734	nan	nan	nan	nan	nan	nan
1492771682784	nan	nan	nan	nan	nan	nan
1492771683689	nan	nan	nan	nan	nan	nan
1492771683984	nan	nan	nan	nan	nan	nan
1492771684229	nan	nan	nan	nan	nan	nan
1492771684284	nan	nan	nan	nan	nan	nan
